,id,age,gender,gender_predicted_value,location,profile_img_url
0,1178458239513419777,32.47263114205998,m,0.1283005326986313,,http://pbs.twimg.com/profile_images/1256573450149261314/a9QRNpXz.jpg
1,1178458261550440449,37.107082338712644,m,0.4459036886692047,,http://pbs.twimg.com/profile_images/1220912962757693442/NPmyAbAD.jpg
2,1178458265056763904,-1.0,no_face,-1.0,Seattle,http://pbs.twimg.com/profile_images/1196528527719317504/9As4qLa3.jpg
3,1178458286640623616,-1.0,no_face,-1.0,"San Francisco, CA",http://pbs.twimg.com/profile_images/1257403866569519105/U6S6wAoN.jpg
4,1178458313496899584,30.803830219190786,f,0.9472141265869141,"New Jersey, USA",http://pbs.twimg.com/profile_images/928157161859010560/8QMQx53c.jpg
5,1178458349827956737,-1.0,no_face,-1.0,,http://abs.twimg.com/sticky/default_profile_images/default_profile.png
6,1178458373496418304,-1.0,no_face,-1.0,"Saskatoon, Saskatchewan",http://pbs.twimg.com/profile_images/1094355701/temp.jpg
7,1178458379640950785,-1.0,no_face,-1.0,,http://abs.twimg.com/sticky/default_profile_images/default_profile.png
8,1178458387337695238,39.05477174187217,m,0.04597470536828041,,http://pbs.twimg.com/profile_images/709986354277519360/NS3Lk6rH.jpg
9,1178458399945756674,14.377623500658956,m,0.47659000754356384,"Vermont, USA",http://pbs.twimg.com/profile_images/1204496542696181762/lMwxZt42.jpg
10,1178458402302783489,-1.0,no_face,-1.0,Perth W A,http://pbs.twimg.com/profile_images/2540997225/image.jpg
11,1178458426172723200,-1.0,no_face,-1.0,,http://pbs.twimg.com/profile_images/436873079227027456/Y_jKP52_.jpeg
12,1178458427372265472,-1.0,no_face,-1.0,,http://pbs.twimg.com/profile_images/1796938616/image.jpg
13,1178458435874111488,-1.0,no_face,-1.0,"La Jolla, Calif.",http://pbs.twimg.com/profile_images/768234363687276545/ElNITopO.jpg
14,1178458449300078593,-1.0,no_face,-1.0,London,http://pbs.twimg.com/profile_images/2210577533/small-1174647058_m.gif
15,1178458449736171520,-1.0,no_face,-1.0,,http://pbs.twimg.com/profile_images/1221628001076383745/YK6LHDj7.jpg
16,1178458459794096128,-1.0,no_face,-1.0,New Zealand +3 years Australia,http://pbs.twimg.com/profile_images/1148381735043756033/bcVe-TsE.png
17,1178458470749589505,-1.0,no_face,-1.0,"Boston, MA",http://pbs.twimg.com/profile_images/1129390445794979840/hjNk-uGZ.jpg
18,1178458471588646913,-1.0,no_face,-1.0,"45th Parallel North,  3rd Rock",http://pbs.twimg.com/profile_images/1141052883892363264/4qsFu-4U.png
19,1178458476067950592,-1.0,no_face,-1.0,Australia,http://pbs.twimg.com/profile_images/1110471263619702784/4gOk1GQ9.jpg
20,1178458476923822082,40.08494376204226,m,0.00948635395616293,Ciudad de México,http://pbs.twimg.com/profile_images/1143604170706104320/qwJqTiN7.jpg
21,1178458483433320453,-1.0,no_face,-1.0,,http://pbs.twimg.com/profile_images/1432189732/guns4.jpg
22,1178458483663880193,-1.0,no_face,-1.0,,http://abs.twimg.com/sticky/default_profile_images/default_profile.png
23,1178458499107495936,-1.0,no_face,-1.0,,http://pbs.twimg.com/profile_images/1166600591042392065/aC45EIxL.jpg
24,1178458512868790272,-1.0,no_face,-1.0,,http://pbs.twimg.com/profile_images/1257697793344450562/eQ71_gqT.jpg
25,1178458515557494784,42.74982067009114,m,0.16492260992527008,Sunshine Coast BC/ Shíshálh ,http://pbs.twimg.com/profile_images/869661670725099520/5nFP8KBJ.jpg
26,1178458527100100609,-1.0,no_face,-1.0,,http://pbs.twimg.com/profile_images/1140072762284752897/2oRPwf9r.jpg
27,1178458558582538240,-1.0,no_face,-1.0,AZ ➡️ 🌎🌍🌏,http://pbs.twimg.com/profile_images/988786655325753344/TbC5wXu8.jpg
28,1178458559870312448,-1.0,no_face,-1.0,"Silver Spring, MD",http://pbs.twimg.com/profile_images/1035911008223670273/k0yhqyDu.jpg
29,1178458567176835077,-1.0,no_face,-1.0,"Pennsylvania, USA",http://pbs.twimg.com/profile_images/1200287516865286144/syrH6ywd.jpg
30,1178458581768622080,-1.0,no_face,-1.0,,http://pbs.twimg.com/profile_images/1176595895405539329/oCcfB_cl.jpg
31,1178458582335066115,34.34479448968591,m,0.024673115462064743,"Augusta, ME",http://pbs.twimg.com/profile_images/1154843580793577472/8eWOMDyh.jpg
32,1178458615461683200,-1.0,no_face,-1.0,"South Carolina, USA",http://pbs.twimg.com/profile_images/1163258704634011648/XA_kuqld.jpg
33,1178458624483446784,-1.0,no_face,-1.0,NSW,http://pbs.twimg.com/profile_images/1227027767/jester111.jpg
34,1178458625981009920,-1.0,no_face,-1.0,United States,http://pbs.twimg.com/profile_images/992420567092375553/aAcl7Aki.jpg
35,1178458650735730691,-1.0,no_face,-1.0,"Hurricane, WV",http://pbs.twimg.com/profile_images/762763453606006784/OdNg0oLk.jpg
36,1178458663092137985,-1.0,no_face,-1.0,St. John's,http://pbs.twimg.com/profile_images/1255597185326080000/dJqmdwZg.jpg
37,1178458671845646337,-1.0,no_face,-1.0,"Burlington, Ontario",http://pbs.twimg.com/profile_images/816466959671955456/Iu3pUPN0.jpg
38,1178458686445895681,-1.0,no_face,-1.0,United States,http://pbs.twimg.com/profile_images/1176270187592658945/O2BL8amz.jpg
39,1178458703462354944,-1.0,no_face,-1.0,Pennsylvania,http://pbs.twimg.com/profile_images/1213983627962470403/Aa0X5I81.jpg
40,1178458722328350722,-1.0,no_face,-1.0,,http://abs.twimg.com/sticky/default_profile_images/default_profile.png
41,1178458735540424705,-1.0,no_face,-1.0,International,http://pbs.twimg.com/profile_images/1081237918985814016/uqS-uROq.jpg
42,1178458748341362693,-1.0,no_face,-1.0,"Pensacola, FL",http://pbs.twimg.com/profile_images/1062790510035824641/rsjLrywt.jpg
43,1178458754322448384,46.43733701950987,m,0.03686327859759331,"Norman, OK",http://pbs.twimg.com/profile_images/819579087828242432/GhPF-Jsp.jpg
44,1178458759611310080,-1.0,no_face,-1.0,"San Francisco, CA",http://pbs.twimg.com/profile_images/830225597137711105/DNrwQ6rP.jpg
45,1178458773679001600,-1.0,no_face,-1.0,Canada,http://pbs.twimg.com/profile_images/1074140793948987392/W1bOpiRN.jpg
46,1178458795116236802,34.84820320135839,m,0.039741359651088715,"Chicago, USA",http://pbs.twimg.com/profile_images/784688962/twit_photo.JPG
47,1178458795707686912,-1.0,no_face,-1.0,USA ΔΣΘ 🔺🐘🔺#JTribe #JanFam,http://pbs.twimg.com/profile_images/823634667383365632/f_3xAaZk.jpg
48,1178458803504701440,38.85031012746913,m,0.07862579822540283,Global,http://pbs.twimg.com/profile_images/1172650186344189952/NzDPuaMM.jpg
49,1178458839970017280,-1.0,no_face,-1.0,,http://pbs.twimg.com/profile_images/881639497703673856/MrOoyDo7.jpg
50,1178458840762912768,-1.0,no_face,-1.0,"New York, NY - Blue to Red",http://pbs.twimg.com/profile_images/986062958970200065/6FdeNGT1.jpg
51,1178458865878200320,-1.0,no_face,-1.0,Sydney,http://pbs.twimg.com/profile_images/494644340363255809/7YY55AfJ.jpeg
52,1178458867962957826,-1.0,no_face,-1.0,,http://pbs.twimg.com/profile_images/1215121922444480515/IZfqhvk6.jpg
53,1178458878809260032,-1.0,no_face,-1.0,"East Singhbhum, jharkhand",http://pbs.twimg.com/profile_images/1254717650447499267/YfzBglkE.jpg
54,1178458904981889024,29.130970885567876,f,0.9422866702079773,U.S.  🤔,http://pbs.twimg.com/profile_images/959689957312028672/e7RmDA1J.jpg
55,1178458906261016576,-1.0,no_face,-1.0,,http://pbs.twimg.com/profile_images/879661996416745472/gDzabsJL.jpg
56,1178458915257888771,52.92960277835664,m,0.3339829444885254,"New Hampshire, USA",http://pbs.twimg.com/profile_images/1255573848566759431/DgysNvgJ.jpg
57,1178458932806914049,-1.0,no_face,-1.0,Jupiter,http://pbs.twimg.com/profile_images/1195144978416230400/9zmOIwAk.jpg
58,1178458952356397056,-1.0,no_face,-1.0,,http://pbs.twimg.com/profile_images/1203145235179565056/v9ZKrgAh.jpg
59,1178458959671369729,42.57560302389902,m,0.09794684499502182,"Florida, USA",http://pbs.twimg.com/profile_images/985297287168577536/0IiQTvyu.jpg
60,1178458983570366464,-1.0,no_face,-1.0,,http://pbs.twimg.com/profile_images/1249522424816648193/Mw-KB-cg.jpg
61,1178458995637542912,-1.0,no_face,-1.0,"Palm Beach, FL - Queens, NY",http://pbs.twimg.com/profile_images/1091901391436697600/rgkpARVh.jpg
62,1178458996438487046,-1.0,no_face,-1.0,"Vancouver, BC",http://pbs.twimg.com/profile_images/1109275657622548481/dm-RJ-_z.jpg
63,1178459031498715138,-1.0,no_face,-1.0,,http://pbs.twimg.com/profile_images/1256674228130082816/cB3uQ6r6.jpg
64,1178459048544370689,40.93287866662649,m,0.038003161549568176,,http://pbs.twimg.com/profile_images/1252340613724336128/1F7P-GmI.jpg
65,1178459055016333317,-1.0,no_face,-1.0,UK,http://pbs.twimg.com/profile_images/453494527068626944/QJoh2SSU.jpeg
66,1178459058577166336,37.02798583874801,m,0.031442999839782715,New Zealand,http://pbs.twimg.com/profile_images/1224055443829354496/Gz84yA4S.jpg
